user_id,activity_id,action,timestamp,expire_at
user_546,activity_365220,follow,2025-10-07T08:06:55.128281,1761187015
user_703,activity_814227,save,2025-10-07T08:06:55.128296,1760495815
user_86,activity_823713,save,2025-10-07T08:06:55.128302,1760236615
user_619,activity_118788,view,2025-10-07T08:06:55.128307,1760323015
user_211,activity_451593,share,2025-10-07T08:06:55.128311,1760236615
user_385,activity_901246,view,2025-10-07T08:06:55.128316,1760927815
user_719,activity_171824,follow,2025-10-07T08:06:55.128320,1761100615
user_615,activity_782918,view,2025-10-07T08:06:55.128325,1760409415
user_274,activity_676106,save,2025-10-07T08:06:55.128329,1761187015
user_207,activity_558912,share,2025-10-07T08:06:55.128333,1760755015
user_494,activity_101028,share,2025-10-07T08:06:55.128336,1761705415
user_27,activity_491615,comment,2025-10-07T08:06:55.128340,1762396615
user_751,activity_644634,follow,2025-10-07T08:06:55.128343,1761705415
user_164,activity_456044,follow,2025-10-07T08:06:55.128347,1761014215
user_907,activity_493781,share,2025-10-07T08:06:55.128350,1761187015
user_368,activity_467554,comment,2025-10-07T08:06:55.128354,1761791815
user_125,activity_607968,share,2025-10-07T08:06:55.128357,1759977415
user_739,activity_479055,like,2025-10-07T08:06:55.128360,1762223815
user_100,activity_668013,follow,2025-10-07T08:06:55.128364,1761964615
user_343,activity_861656,like,2025-10-07T08:06:55.128368,1761273415
user_543,activity_110982,save,2025-10-07T08:06:55.128371,1761359815
user_764,activity_788685,comment,2025-10-07T08:06:55.128374,1761014215
user_226,activity_577191,save,2025-10-07T08:06:55.128378,1761446215
user_769,activity_721497,like,2025-10-07T08:06:55.128381,1761791815
user_260,activity_688969,save,2025-10-07T08:06:55.128385,1760668615
user_727,activity_988577,view,2025-10-07T08:06:55.128390,1759891015
user_941,activity_839819,view,2025-10-07T08:06:55.128393,1761964615
user_330,activity_706108,follow,2025-10-07T08:06:55.128397,1760841415
user_240,activity_147788,share,2025-10-07T08:06:55.128400,1760236615
user_188,activity_113139,like,2025-10-07T08:06:55.128404,1760841415
user_17,activity_805994,like,2025-10-07T08:06:55.128416,1761273415
user_311,activity_828534,view,2025-10-07T08:06:55.128420,1760582215
user_915,activity_996716,view,2025-10-07T08:06:55.128423,1760841415
user_607,activity_427350,share,2025-10-07T08:06:55.128427,1761791815
user_106,activity_310234,comment,2025-10-07T08:06:55.128430,1760755015
user_160,activity_797876,save,2025-10-07T08:06:55.128434,1761532615
user_364,activity_537656,comment,2025-10-07T08:06:55.128437,1760409415
user_327,activity_303907,save,2025-10-07T08:06:55.128441,1760409415
user_848,activity_342634,save,2025-10-07T08:06:55.128444,1761791815
user_658,activity_684095,save,2025-10-07T08:06:55.128449,1759891015
user_874,activity_864940,follow,2025-10-07T08:06:55.128453,1762051015
user_365,activity_208110,view,2025-10-07T08:06:55.128456,1760323015
user_532,activity_785186,save,2025-10-07T08:06:55.128459,1762396615
user_392,activity_683620,view,2025-10-07T08:06:55.128463,1760582215
user_925,activity_853859,like,2025-10-07T08:06:55.128466,1762051015
